55.0061,64.5699	53.402,64.6288	51.8747,65.3531	50.3258,65.5849	48.8528,66.3335	47.511,67.0516	46.1187,67.6417	44.6812,68.3832	43.3871,69.471	42.0164,70.3572	41.1262,71.6513	39.5543,72.1232	38.0071,72.6927	36.8828,73.7453	35.7404,74.7528	34.4423,75.7267	33.2044,76.6121	32.0402,77.6286	
55.0229,64.6283	53.4121,64.6894	51.8225,65.0935	50.2635,65.4725	48.7751,66.1402	47.2282,66.579	45.7654,67.2234	44.5782,68.399	43.2604,69.2212	41.8544,70.0273	40.5411,70.947	39.2235,71.7268	38.0523,72.7523	36.9938,74.0599	35.8081,75.1752	34.5408,76.0511	33.1063,76.6311	31.5227,76.8747	
55.0336,64.6095	53.4072,64.1285	51.7979,64.2442	50.2025,64.3829	48.5897,64.3778	46.9512,64.4282	45.3607,64.285	43.7963,64.8467	42.3222,65.126	40.6988,65.3287	39.1761,65.3912	37.4524,65.7719	35.9218,65.4546	34.4371,66.0539	33.0416,67.0701	31.6254,67.9313	30.3322,68.6991	28.6328,68.8013	
54.9967,64.603	53.3927,64.4573	51.8713,64.769	50.5071,65.5918	49.1527,66.4324	47.5074,66.621	45.9599,66.3484	44.44,66.4417	42.8473,66.4437	41.2553,66.1669	39.7334,65.436	38.4622,64.5284	37.1019,63.825	35.7977,62.9965	34.7902,61.778	33.2461,61.1454	31.4762,60.9139	29.9727,60.2668	
55.0122,64.6207	53.4847,64.8214	51.8672,65.0054	50.2791,64.9541	48.7199,65.1723	47.1305,65.4511	45.5187,65.4358	43.918,65.7908	42.3229,65.5361	40.7626,64.8214	39.1737,64.287	37.8286,63.5445	36.7768,62.3374	35.5212,61.2791	34.7167,59.9572	33.5589,58.9625	32.3497,58.0359	31.0219,57.0857	
55.006,64.5732	53.3657,64.2574	51.7872,64.7418	50.335,65.5861	48.9629,66.4393	47.6221,67.1348	46.2714,68.0224	45.0224,68.8654	43.6565,69.7102	42.4389,70.6471	41.23,71.5814	40.6688,73.1062	39.4885,74.1007	38.059,74.8277	36.9239,75.8112	35.7705,77.0597	34.3423,77.7625	32.7684,78.0981	
55.0322,64.6097	53.4854,65.0572	52.0368,65.5461	50.5965,66.1774	49.0727,66.6734	47.5834,67.3199	46.1409,68.0762	44.7327,68.9125	43.4523,69.8922	41.8908,70.2554	40.7947,71.5211	39.8224,72.9029	38.2346,73.7727	36.576,74.1728	35.3869,75.2391	33.9309,75.9836	32.4704,76.5337	30.9237,76.7954	
55.0161,64.5598	53.4279,64.5143	51.8044,64.4865	50.2965,64.615	48.729,65.1172	47.1202,65.273	45.7067,66.311	44.4025,67.2922	43.3683,68.5475	42.7392,70.1217	41.8813,71.4944	40.4806,72.2514	39.1889,73.0852	37.7056,73.5719	36.2101,74.0052	34.6877,74.2668	33.1953,74.5658	31.611,74.2315	
55.052,64.6134	53.5115,64.7252	52.0302,65.1174	50.6179,65.9231	49.4515,67.1451	47.9435,67.66	46.5538,68.5196	44.9196,68.8294	43.3059,69.0873	41.7475,69.1551	40.2186,68.6059	38.7047,67.8408	37.4063,66.7711	36.4424,65.3858	35.8012,63.9513	35.4559,62.4109	34.5315,61.1888	34.5673,59.5561	
54.995,64.6166	53.439,64.692	51.8897,65.0815	50.4341,65.7208	49.2099,66.8881	48.1766,68.1812	47.3155,69.6194	46.7046,71.0463	45.6075,72.2627	44.4755,73.2939	43.429,74.5519	42.4163,75.6975	41.9893,77.4128	41.2247,78.748	40.1888,79.8925	39.2219,81.0516	37.8946,82.0583	36.4045,82.6071	
55.0101,64.5609	53.4527,64.5299	51.961,64.9305	50.5064,65.5932	49.019,66.1662	47.4448,66.5589	45.9453,67.1657	44.2583,66.9748	42.7433,66.6364	41.2002,66.0246	39.6646,65.9714	37.9204,66.0567	36.4332,65.5621	34.9868,65.1353	33.5321,64.3176	32.2139,63.5338	30.9496,62.4806	29.5738,61.8163	
55.02,64.5868	53.4697,64.5824	51.9529,65.2957	50.4816,66.0185	49.194,67.0449	48.3013,68.4982	47.1695,69.5964	45.8327,70.5022	44.6895,71.8106	43.2397,72.6106	41.6681,73.1815	40.2251,73.9501	39.1315,75.0479	38.0187,76.2196	37.1139,77.4471	35.5714,78.0279	33.9772,78.2646	32.3326,77.6149	
55.0065,64.5868	53.4392,64.3268	51.9835,65.2214	50.5951,66.0095	49.1655,66.7368	47.6575,67.2995	46.3918,68.3206	45.2521,69.3138	43.7859,69.9596	42.6105,71.0526	41.2506,72.1944	39.9812,73.0291	39.0635,74.2957	38.0506,75.4464	36.8027,76.3639	35.2915,76.9021	33.8943,77.5415	32.3539,77.7974	
54.9966,64.602	53.4383,64.992	51.9662,65.7341	50.6525,66.6791	49.2968,67.4748	47.8684,68.1377	46.8811,69.5242	45.8142,70.9177	44.2534,71.5869	42.7182,71.9276	41.489,72.8777	40.1568,73.6132	38.5907,73.7531	37.0442,73.8535	35.5347,74.0604	34.0147,73.9216	32.5067,73.2319	31.3636,71.8319	
55.0204,64.6232	53.4422,64.626	52.0544,65.4406	50.6485,66.2216	49.3924,67.3449	48.1457,68.3298	47.0713,69.5453	46.5849,71.3368	46.1586,72.9347	44.8068,74.1923	43.8024,75.471	42.3914,76.2267	41.4588,77.4277	39.5774,77.6832	38.429,79.1351	37.6175,80.523	36.0003,81.4558	34.2995,81.6247	
55.0078,64.6585	53.4725,64.8647	51.9676,65.4958	50.6927,66.4668	49.3389,67.3283	47.7065,67.6914	46.1504,68.5296	44.7624,69.1343	43.5736,70.1276	42.2767,71.1317	41.2532,72.2678	40.4775,73.8246	39.7593,75.3066	39.5822,76.9019	39.4366,78.4409	39.7784,80.0057	39.8481,81.5202	39.5211,83.0256	
55.0527,64.6497	53.4745,64.6947	51.931,65.2024	50.4055,65.6459	48.805,66.005	47.2021,66.1322	45.6727,66.0023	44.2213,66.559	42.6942,66.6344	41.0468,66.6977	39.5408,65.7329	37.9582,65.7199	36.7048,64.7197	35.3932,63.8991	33.9542,63.3516	32.6896,62.4998	31.5647,61.4095	30.47,60.3164	
